ZIP,State,County,Date Sent,Assigned List,Assigned Agency,Report Month,Estimated Population,Estimated Lead Volume
36695,AL,Mobile Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,204.0,204.0
35405,AL,Tuscaloosa Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,140.0,140.0
35810,AL,Huntsville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,126.0,126.0
36330,AL,Enterprise Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,209.0,209.0
36301,AL,Dothan Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,153.0,153.0
35749,AL,Harvest Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,255.0,255.0
35022,AL,Bessemer Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,119.0,119.0
36116,AL,Montgomery Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,127.0,127.0
35055,AL,Cullman Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,127.0,127.0
36608,AL,Mobile Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,141.0,141.0
35763,AL,Owens Cross Roads Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,122.0,122.0
35244,AL,Birmingham Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,179.0,179.0
35761,AL,New Market Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,122.0,122.0
35756,AL,Madison Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,287.0,287.0
35242,AL,Birmingham Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,178.0,178.0
36575,AL,Semmes Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,54.0,54.0
35007,AL,Alabaster Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,78.0,78.0
36582,AL,Theodore Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,70.0,70.0
36092,AL,Wetumpka Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,55.0,55.0
36867,AL,Phenix City Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,59.0,59.0
35773,AL,Toney Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,86.0,86.0
36303,AL,Dothan Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,98.0,98.0
36870,AL,Phenix City Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,55.0,55.0
35613,AL,Athens Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,310.0,310.0
36527,AL,Daphne Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,130.0,130.0
35111,AL,Mc Calla Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,95.0,95.0
36067,AL,Prattville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,48.0,48.0
35226,AL,Birmingham Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,104.0,104.0
35601,AL,Decatur Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,121.0,121.0
35096,AL,Lincoln Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,45.0,45.0
35214,AL,Birmingham Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,47.0,47.0
35674,AL,Tuscumbia Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,96.0,96.0
35071,AL,Gardendale Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,50.0,50.0
36066,AL,Prattville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,40.0,40.0
35404,AL,Tuscaloosa Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,76.0,76.0
35803,AL,Huntsville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,144.0,144.0
35206,AL,Birmingham Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,78.0,78.0
36064,AL,Pike Road Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,90.0,90.0
