Rank,State,County,County Score,Pending Ratio,Active Listing Count,Pending Listing Count,Median Listing Price,Median Days on Market,Price Decrease Count,New Listing Count,Recommended Home Value Range,Notes
1,MI,Macomb,92.4,0.7341437632135307,1892,1389.0,297450.0,35.0,834.0,1396,$149k-$350k,Strong buyer activity
2,MI,Wayne,91.72,0.5826086956521739,4370,2546.0,155000.0,45.0,1404.0,2288,$78k-$207k,Strong buyer activity
3,MI,Genesee,88.88,0.7199558985667034,907,653.0,222500.0,40.0,418.0,524,$111k-$297k,Strong buyer activity
4,MI,Oakland,87.45,0.6794520547945205,2920,1984.0,429900.0,32.0,1160.0,2114,$215k-$350k,Strong buyer activity
5,FL,Duval,87.16,0.49146757679180886,3809,1872.0,308950.0,57.0,1822.0,1740,$165k-$349k,Strong buyer activity
6,AL,Jefferson,87.08,0.5696969696969697,2475,1410.0,242725.0,57.0,852.0,1030,$127k-$333k,Strong buyer activity
7,MI,Ingham,87.05,0.8577235772357723,492,422.0,212500.0,38.0,204.0,390,$106k-$283k,Strong buyer activity
8,MI,Kent,86.38,1.0563063063063063,888,938.0,419700.0,32.0,442.0,890,$210k-$350k,Strong buyer activity
9,MI,Kalamazoo,85.15,0.9565217391304348,483,462.0,339000.0,38.0,230.0,402,$170k-$350k,Strong buyer activity
10,GA,Houston,84.3,0.7609427609427609,594,452.0,313742.0,49.0,170.0,250,$188k-$408k,Strong buyer activity
11,FL,Clay,83.97,0.5323110624315444,913,486.0,360000.0,55.0,462.0,396,$193k-$407k,Strong buyer activity
12,FL,Seminole,83.25,0.46053489889106325,1533,706.0,400000.0,57.0,786.0,672,$214k-$452k,Strong buyer activity
13,FL,St. Johns,81.84,0.5117170856412442,2347,1201.0,539000.0,61.0,982.0,874,$288k-$550k,Strong buyer activity
14,AL,Madison,81.62,0.5402245088868101,2138,1155.0,362000.0,61.0,818.0,874,$190k-$350k,Strong buyer activity
15,FL,Orange,81.55,0.40782020829526766,5473,2232.0,443723.0,66.0,2112.0,2004,$237k-$501k,Strong buyer activity
16,FL,Hillsborough,81.49,0.39291038595328803,6037,2372.0,429450.0,63.0,2810.0,2242,$230k-$485k,Strong buyer activity
17,MI,Calhoun,81.4,0.828996282527881,269,223.0,227000.0,40.0,124.0,186,$114k-$303k,Strong buyer activity
18,AL,Shelby,81.07,0.6576673866090713,926,609.0,424950.0,45.0,416.0,456,$223k-$350k,Strong buyer activity
19,AL,Mobile,80.79,0.5332823259372609,1307,697.0,274998.0,70.0,472.0,462,$144k-$350k,Strong buyer activity
20,GA,Columbia,80.01,0.48553459119496856,795,386.0,379900.0,56.0,262.0,292,$228k-$450k,Strong buyer activity
21,GA,Muscogee,79.97,0.5234899328859061,596,312.0,249125.0,55.0,160.0,238,$149k-$324k,Strong buyer activity
22,MI,Washtenaw,78.84,0.7748976807639836,733,568.0,487500.0,36.0,250.0,486,$244k-$350k,Strong buyer activity
23,FL,Pasco,78.63,0.3799626965094591,3753,1426.0,354348.0,66.0,1688.0,1302,$190k-$400k,Strong buyer activity
24,GA,Gwinnett,78.13,0.3623789764868603,3615,1310.0,465000.0,47.0,1534.0,1446,$279k-$450k,Strong buyer activity
25,AL,Montgomery,78.1,0.45560253699788583,946,431.0,233450.0,66.0,332.0,358,$123k-$320k,Strong buyer activity
26,GA,Richmond,78.05,0.4370860927152318,755,330.0,224925.0,59.0,350.0,274,$135k-$292k,Strong buyer activity
27,FL,Lake,77.44,0.40856342537014806,2499,1021.0,403073.0,72.0,1022.0,812,$216k-$455k,Strong buyer activity
28,MI,Ottawa,77.36,0.8497942386831275,486,413.0,499900.0,36.0,198.0,406,$250k-$350k,Strong buyer activity
29,GA,Dekalb,77.07,0.3264144626715768,2987,975.0,345000.0,54.0,1096.0,1146,$207k-$448k,Strong buyer activity
30,MI,Eaton,76.9,1.2058823529411764,136,164.0,317225.0,30.0,66.0,150,$159k-$350k,Strong buyer activity
31,FL,Manatee,76.46,0.45258243361540706,3427,1551.0,488250.0,84.0,1178.0,1054,$261k-$550k,Strong buyer activity
32,MI,Livingston,76.46,0.9193954659949622,397,365.0,463700.0,34.0,138.0,314,$232k-$350k,Strong buyer activity
33,GA,Cobb,76.27,0.3528198074277854,2908,1026.0,467000.0,44.0,1228.0,1230,$280k-$450k,Strong buyer activity
34,GA,Paulding,75.93,0.36219640971488914,947,343.0,394699.0,47.0,422.0,382,$237k-$450k,Strong buyer activity
35,AL,St. Clair,74.63,0.5470737913486005,393,215.0,359975.0,57.0,146.0,164,$189k-$350k,Strong buyer activity
36,GA,Henry,74.26,0.3592156862745098,1275,458.0,379972.0,58.0,462.0,468,$228k-$450k,Strong buyer activity
37,AL,Morgan,74.03,0.4624413145539906,426,197.0,304175.0,60.0,162.0,190,$160k-$350k,Strong buyer activity
38,GA,Clayton,73.74,0.3613916947250281,891,322.0,253500.0,59.0,304.0,326,$152k-$330k,Strong buyer activity
39,GA,Fulton,72.76,0.27935019259755484,5971,1668.0,409442.0,56.0,2044.0,1844,$246k-$450k,Strong buyer activity
40,FL,Sarasota,72.7,0.3758819756254009,4677,1758.0,482450.0,86.0,1372.0,1078,$258k-$545k,Strong buyer activity
41,AL,Limestone,72.63,0.44930629669156885,937,421.0,391059.0,66.0,282.0,314,$205k-$350k,Strong buyer activity
42,AL,Elmore,71.91,0.7232472324723247,271,196.0,366899.0,61.0,96.0,120,$193k-$350k,Strong buyer activity
43,GA,Chatham,71.81,0.3655913978494624,1767,646.0,399900.0,72.0,688.0,494,$240k-$450k,Strong buyer activity
44,FL,Palm Beach,71.47,0.3317377167630058,11072,3673.0,496200.0,77.0,2784.0,2884,$265k-$550k,Strong buyer activity
45,AL,Autauga,71.22,0.912,125,114.0,328700.0,46.0,50.0,78,$173k-$350k,Strong buyer activity
46,MI,Allegan,70.6,0.765625,256,196.0,508450.0,39.0,116.0,192,$254k-$350k,Strong buyer activity
47,FL,Pinellas,70.53,0.2948126801152738,6940,2046.0,430000.0,76.0,2838.0,1870,$230k-$486k,Strong buyer activity
48,GA,Douglas,70.49,0.33380281690140845,710,237.0,371250.0,57.0,266.0,238,$223k-$450k,Strong buyer activity
49,GA,Rockdale,70.23,0.379047619047619,525,199.0,322725.0,64.0,174.0,166,$194k-$420k,Strong buyer activity
50,GA,Cherokee,69.54,0.3512396694214876,1452,510.0,569450.0,49.0,644.0,536,$342k-$450k,Strong buyer activity
51,GA,Bryan,69.1,0.551094890510949,274,151.0,449950.0,67.0,112.0,88,$270k-$450k,Strong buyer activity
52,FL,Nassau,68.09,0.40025906735751293,772,309.0,587725.0,71.0,262.0,196,$314k-$550k,Strong buyer activity
53,GA,Forsyth,67.5,0.3357664233576642,1370,460.0,679500.0,44.0,728.0,566,$408k-$450k,Strong buyer activity
54,MI,Clinton,66.85,1.202127659574468,94,113.0,364725.0,35.0,26.0,82,$182k-$350k,Strong buyer activity
55,FL,Osceola,66.73,0.28424329501915707,4176,1187.0,415000.0,83.0,1272.0,998,$222k-$469k,Strong buyer activity
56,FL,Broward,65.44,0.24620040349697378,14870,3661.0,381950.0,82.0,3608.0,3440,$204k-$432k,Moderate buyer activity
57,GA,Bibb,64.8,0.3002610966057441,766,230.0,199950.0,70.0,218.0,218,$120k-$260k,Strong buyer activity
58,FL,Lee,64.55,0.2561702127659575,10575,2709.0,396850.0,90.0,3146.0,2074,$212k-$448k,Strong buyer activity
59,GA,Fayette,61.08,0.2960235640648012,679,201.0,575000.0,55.0,236.0,224,$345k-$450k,Strong buyer activity
60,AL,Blount,59.34,0.41216216216216217,148,61.0,323100.0,69.0,66.0,48,$170k-$350k,Strong buyer activity
61,AL,Baldwin,59.12,0.31637843336724314,2949,933.0,499450.0,77.0,756.0,734,$262k-$350k,Strong buyer activity
62,FL,Miami-Dade,58.35,0.21457941729323307,17024,3653.0,592450.0,86.0,2938.0,3392,$317k-$550k,Moderate buyer activity
