Item,Value
Date generated,2026-07-06T14:39:37Z
Report month,2026-07
County CSV URL,https://econdata.s3-us-west-2.amazonaws.com/Reports/Core/RDC_Inventory_Core_Metrics_County_History.csv
ZIP CSV URL,https://econdata.s3-us-west-2.amazonaws.com/Reports/Core/RDC_Inventory_Core_Metrics_Zip_History.csv
Target states used,"FL,MI,GA,AL"
County rows removed by quality flag,0
ZIP rows removed by quality flag,0
Number of counties analyzed,365
Number of ZIPs analyzed,2145
Major-city drive market filter enabled,True
Configured major-city drive minutes,45
Counties excluded outside major-city drive markets,303
ZIPs excluded outside major-city drive markets,727
Target ZIPs per state after major-city filter,200
Dense residential filter enabled,True
Dense residential minimum lead volume,25
ZIPs excluded as sparse residential inventory,183
Number of ZIPs excluded due to cooldown,603
Number of ZIPs assigned to List A,210
Number of ZIPs assigned to List B,214
Scoring formula explanation,"County: pending ratio 30%, active inventory 20%, price decrease 15%, DOM 15%, affordability 10%, volume 10%. ZIP: pending ratio 25%, active inventory 20%, volume 15%, price fit 15%, price decrease 10%, DOM 10%, data quality 5%."
List A estimated lead volume - AL,973.0
List B estimated lead volume - AL,981.0
List A estimated lead volume - FL,29299.0
List B estimated lead volume - FL,29195.0
List A estimated lead volume - GA,2995.0
List B estimated lead volume - GA,3029.0
List A estimated lead volume - MI,2131.0
List B estimated lead volume - MI,2145.0
Dense residential ZIPs - AL,162
Dense residential top-up ZIPs - AL,38
Sparse residential ZIPs excluded - AL,8
Dense residential ZIPs - FL,546
Dense residential top-up ZIPs - FL,0
Sparse residential ZIPs excluded - FL,24
Dense residential ZIPs - GA,238
Dense residential top-up ZIPs - GA,0
Sparse residential ZIPs excluded - GA,27
Dense residential ZIPs - MI,251
Dense residential top-up ZIPs - MI,0
Sparse residential ZIPs excluded - MI,124
