State,County,ZIP,Reason,Suggested Action
,,,603 ZIP codes excluded because they were used within the cooldown window.,Review before outreach.
AL,,,38 ZIPs were added from the next densest available pool to preserve report lead volume.,Review top-up ZIPs if strict density is more important than report size.
AL,Gulf Shores Zip Market,36542,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Orange Beach Zip Market,36561,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Foley Zip Market,36535,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Athens Zip Market,35613,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Fairhope Zip Market,36532,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Daphne Zip Market,36526,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Madison Zip Market,35756,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Harvest Zip Market,35749,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Montgomery Zip Market,36117,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Athens Zip Market,35611,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Huntsville Zip Market,35811,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Mobile Zip Market,36695,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Madison Zip Market,35758,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Birmingham Zip Market,35215,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Birmingham Zip Market,35242,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Birmingham Zip Market,35244,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Meridianville Zip Market,35759,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Decatur Zip Market,35603,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Trussville Zip Market,35173,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Mobile Zip Market,36608,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Montgomery Zip Market,36109,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Owens Cross Roads Zip Market,35763,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Huntsville Zip Market,35803,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Montgomery Zip Market,36116,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Huntsville Zip Market,35810,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,New Market Zip Market,35761,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Alexander City Zip Market,35010,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Bessemer Zip Market,35023,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Cullman Zip Market,35055,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Daphne Zip Market,36527,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Decatur Zip Market,35601,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Huntsville Zip Market,35806,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Florence Zip Market,35630,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Bessemer Zip Market,35022,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Birmingham Zip Market,35226,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Muscle Shoals Zip Market,35661,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Pelham Zip Market,35124,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Mc Calla Zip Market,35111,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Calera Zip Market,35040,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Tuscumbia Zip Market,35674,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Huntsville Zip Market,35802,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Arab Zip Market,35016,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Madison Zip Market,35757,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Eufaula Zip Market,36027,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Montgomery Zip Market,36106,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Chelsea Zip Market,35043,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Birmingham Zip Market,35211,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Birmingham Zip Market,35205,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Birmingham Zip Market,35216,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Pike Road Zip Market,36064,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Alabaster Zip Market,35007,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Hartselle Zip Market,35640,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Birmingham Zip Market,35206,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Toney Zip Market,35773,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Hazel Green Zip Market,35750,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Springville Zip Market,35146,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Birmingham Zip Market,35208,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Killen Zip Market,35645,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Mobile Zip Market,36606,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Odenville Zip Market,35120,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Talladega Zip Market,35160,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Pinson Zip Market,35126,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Mobile Zip Market,36609,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Florence Zip Market,35633,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Helena Zip Market,35080,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Birmingham Zip Market,35235,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Theodore Zip Market,36582,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Huntsville Zip Market,35805,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Mobile Zip Market,36693,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Leeds Zip Market,35094,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Bay Minette Zip Market,36507,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Montgomery Zip Market,36111,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Hanceville Zip Market,35077,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Robertsdale Zip Market,36567,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Montevallo Zip Market,35115,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Bessemer Zip Market,35020,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Clanton Zip Market,35045,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Cullman Zip Market,35058,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Loxley Zip Market,36551,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Birmingham Zip Market,35209,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Tallassee Zip Market,36078,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Saraland Zip Market,36571,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Huntsville Zip Market,35824,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Mobile Zip Market,36605,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Warrior Zip Market,35180,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Wetumpka Zip Market,36093,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Sylacauga Zip Market,35150,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
AL,Semmes Zip Market,36575,ZIP used within cooldown window.,Do not reuse unless cooldown override is explicitly approved.
