State,County,ZIP,ZIP Score,Pending Ratio,Active Listing Count,Pending Listing Count,Estimated Population,Estimated Lead Volume,Median Listing Price,Median Days on Market,Price Decrease Count,Recommended Home Value Range,Last Used Date,Eligible Based on Cooldown,Manual Review Flag
AL,Gulf Shores Zip Market,36542,49.83,0.15052508751458576,857,129.0,857.0,857.0,534450.0,87.0,192.0,$281k-$350k,,True,
AL,Orange Beach Zip Market,36561,49.12,0.1717612809315866,687,118.0,687.0,687.0,752500.0,94.0,114.0,$395k-$350k,,True,
AL,Foley Zip Market,36535,79.33,0.6037735849056604,318,192.0,318.0,318.0,348100.0,65.0,116.0,$183k-$350k,,True,
AL,Athens Zip Market,35613,59.47,0.3550488599348534,307,109.0,307.0,307.0,461050.0,60.0,86.0,$242k-$350k,,True,
AL,Fairhope Zip Market,36532,59.57,0.3848797250859107,291,112.0,291.0,291.0,644450.0,68.0,94.0,$338k-$350k,,True,
AL,Daphne Zip Market,36526,71.36,0.4416058394160584,274,121.0,274.0,274.0,387538.0,62.0,116.0,$203k-$350k,,True,
AL,Madison Zip Market,35756,68.96,0.6593406593406593,273,180.0,273.0,273.0,475750.0,57.0,68.0,$250k-$350k,,True,
AL,Harvest Zip Market,35749,76.48,0.6150943396226415,265,163.0,265.0,265.0,339498.0,76.0,94.0,$178k-$350k,,True,
AL,Montgomery Zip Market,36117,73.73,0.48214285714285715,224,108.0,224.0,224.0,342500.0,61.0,74.0,$180k-$350k,,True,
AL,Athens Zip Market,35611,68.64,0.4351851851851852,216,94.0,216.0,216.0,318044.0,92.0,66.0,$167k-$350k,,True,
AL,Huntsville Zip Market,35811,72.24,0.514018691588785,214,110.0,214.0,214.0,372725.0,63.0,78.0,$196k-$350k,,True,
AL,Mobile Zip Market,36695,80.16,0.655,200,131.0,200.0,200.0,299500.0,58.0,76.0,$157k-$350k,,True,
AL,Madison Zip Market,35758,63.67,0.5555555555555556,189,105.0,189.0,189.0,459675.0,60.0,68.0,$241k-$350k,,True,
AL,Birmingham Zip Market,35215,77.87,0.5053191489361702,188,95.0,188.0,188.0,150950.0,58.0,74.0,$79k-$207k,,True,
AL,Birmingham Zip Market,35242,67.38,0.5904255319148937,188,111.0,188.0,188.0,634877.0,45.0,88.0,$333k-$350k,,True,
AL,Birmingham Zip Market,35244,70.79,1.3295454545454546,176,234.0,176.0,176.0,605475.0,45.0,62.0,$318k-$350k,,True,
AL,Meridianville Zip Market,35759,68.39,0.47878787878787876,165,79.0,165.0,165.0,348608.0,66.0,52.0,$183k-$350k,,True,
AL,Decatur Zip Market,35603,69.64,0.48125,160,77.0,160.0,160.0,334400.0,65.0,60.0,$176k-$350k,,True,
AL,Trussville Zip Market,35173,64.69,0.64375,160,103.0,160.0,160.0,454950.0,53.0,66.0,$239k-$350k,,True,
AL,Mobile Zip Market,36608,67.79,0.44,150,66.0,150.0,150.0,297750.0,64.0,34.0,$156k-$350k,,True,
AL,Montgomery Zip Market,36109,67.44,0.39855072463768115,138,55.0,138.0,138.0,169925.0,59.0,40.0,$89k-$233k,,True,
AL,Owens Cross Roads Zip Market,35763,67.26,0.6159420289855072,138,85.0,138.0,138.0,424925.0,53.0,56.0,$223k-$350k,,True,
AL,Huntsville Zip Market,35803,59.93,0.5072463768115942,138,70.0,138.0,138.0,426975.0,82.0,58.0,$224k-$350k,,True,
AL,Montgomery Zip Market,36116,73.03,0.48175182481751827,137,66.0,137.0,137.0,223475.0,53.0,50.0,$117k-$306k,,True,
AL,Huntsville Zip Market,35810,74.63,0.6090225563909775,133,81.0,133.0,133.0,219875.0,62.0,58.0,$115k-$301k,,True,
AL,New Market Zip Market,35761,67.96,0.5639097744360902,133,75.0,133.0,133.0,337725.0,67.0,40.0,$177k-$350k,,True,
AL,Alexander City Zip Market,35010,57.8,0.38461538461538464,130,50.0,130.0,130.0,325000.0,93.0,32.0,$171k-$350k,,True,
AL,Bessemer Zip Market,35023,68.08,0.3953488372093023,129,51.0,129.0,129.0,179900.0,53.0,44.0,$94k-$246k,,True,
